chapter,page,line,cam_1882,cam_NYE,change_type,is_dialogue_tag,art_reference,art_topic
13,111,20,"he had the qualities of a famous captain, and she answered that, if it would help him on, she shouldn't object to a waróa speech which ranked among the three or four most encouraging ones he had elicited from her, and of which the value was not diminished by her subsequent regret at having said anything so heartless, inasmuch as she never communicated this regret to him.","he might have ridden, on a plunging steed, the whirlwind of a great waróa war like the Civil strife that had overdarkened her conscious childhood and his ripening youth.",,,,
13,111,21,his being potentially a commander of men,his being by character and in fact a mover of men,,,,
13,111,22,his character and appearance,his nature and aspect,,,,
13,111,22,"She cared nothing about his cotton-mill, and the",She cared nothing for his cotton-millóthe,,,,
13,111,24,not an inch less a man than he was;,"no ounce less of his manhood,",,,,
13,111,25,"too square and grim,",too square and set,,,,
13,111,27,a want of easy adaptability to some of the occasions of life,a want of easy consonance with the deeper rhythms of life,,,,
13,111,28,she regarded with disfavour,she viewed with reserve,,,,
13,111,31,"the pattern, the cut, was in every case identical","the figure, the stuff, was so drearily usual",,,,
13,111,33,a man of Mr. Goodwood's importance,a person of his importance,,,,
13,111,34,objection if,objection only if,,,,
13,111,35,therefore she might criticise,therefore might criticise,,,,
13,111,36,his great ones,his great,,,,
13,112,2,"his being too serious, for one could never be that, but of his seeming so","his being too serious, or, rather, not of his being so, since one could never be, but certainly of his seeming so",,,,
13,112,3,"He showed his seriousness too simply, too artlessly",He showed his appetites and designs too simply and artlessly,,,,
13,112,6,"he was the strongest man she had ever known, and she believed that at bottom he was the cleverest","he was of supremely strong, clean makeówhich was so much: she saw the different fitted parts of him as she had seen, in museums and portraits, the different fitted parts of armoured warriorsóin plates of steel handsomely inlaid with gold",,,,TRUE
13,112,7,It was very strange; she was far from understanding the contradictions among her own impressions.,"It was very strange: where, ever, was any tangible link between her impression and her act?",,,,
13,112,9,why he was so unsatisfactory,why he left her so harshly critical,,,,
13,112,13,Such incongruities were not a help,The sense of her incoherence was not a help,,,,
13,112,14,a while unanswered,a while unhonoured,,,,
13,112,17,to perceive that she did not approve of his coming to Gardencourt,to perceive how little it charmed her that he should come down to Gardencourt,,,,
13,112,20,Isabel had a personal shrinking from entertaining two lovers at once,there was a kind of grossness in entertaining two such passionate pleaders at once,,,,
13,112,21,She sent no answer,She made no reply,,,,
13,112,23,It ran as follows.,DELETION,deletion,FALSE,,
13,112,24,A great deal of careful reflection,A great deal of earnest thought,,,,
13,112,26,I do not find myself able,"I am not, I am really and truly not, able",,,,
13,112,28,"the light of a husband, or to regard your homeóyour various homesó in the light of my own",the light of a companion for life; or to think of your homeóyour various homesóas the settled seat of my existence,,,,
13,112,34,"It is with this feeling of respect that I remain very truly yours,","It is with this very great regard that I remain sincerely yours,",,,,
13,113,3,a resolution which was accompanied by no hesitation,a resolve which was accompanied by no demur,,,,
13,113,6,It may be confided to the reader,It may be admitted,,,,
13,113,8,indiscreet,apt to push an advantage,,,,
13,113,9,"The movement was unreasonable, however; for he had measured the limits of her discretion as little as he had explored its extent;","The alarm was unreasoned, however; for he was clear about the area of her indiscretion as little as advised of its vertical depth,",,,,
13,113,12,"""When you look at me in a certain way,"" he said,","""When you look at me in a certain way",,,,
13,113,15,You have a look which I have never encountered,You've an address that I've never encountered,,,,
13,113,17,"trying to turn me into ridicule,",trying somehow to abash me,,,,
13,113,25,"laugh at me for that, you are very welcome",laugh at me for it you're very welcome,,,,
13,113,28,just as I am; it is true they are only Americans!,just as I am. It's true they're nice fresh free-born Americans!,,,,
13,113,31,willing that your amusement,willing your amusement,,,,
13,114,3,fixing on him a gaze which may perhaps have contained the quality that caused his knees to knock together,fixing on him perhaps the very gaze that unnerved him,,,,
13,114,5,Never in the world.,"Ah, not that!",,,,
13,114,7,in love with another,in love with Another,,,,
13,114,8,the other!,the Other!,,,,
13,114,21,not the same as she was,not the same as she once so beautifully was,,,,
13,114,23,you know that she comes from there,you know she comes from there,,,,
13,114,35,"She is taking different views,","She's taking different views, a different colour,",,,,
13,115,3,one of these Europeans,one of these fell Europeans,,,,
13,115,8,the typical European,"the typical, the fell European",,,,
13,115,11,"He's a noble fellow,",He's a thoroughly grand man,,,,
13,115,20,"another young woman, whose attention","another young woman, a young woman whose attention",,,,
13,115,27,a force that I can scarcely call anything less than inspiration,a force that I can only speak of as inspiration,,,,
13,115,33,He returned this gaze a moment,He returned this challenge a moment,,,,
13,115,35,"Mr. Caspar Goodwood, from Boston.",Mr. Caspar Goodwoodóof Boston.,,,,
13,116,6,Ralph gave a small laugh.,Ralph gave a mild ambiguous laugh.,,,,
13,116,7,to marry me the other day,to marry me the other day,,,,
13,116,20,"to laugh at me,",to pour scorn on me,,,,
13,116,21,to laugh at you,to pour scorn on you,,,,
13,116,22,You are laughing worse than ever;,"You're more satiric than ever,",,,,
13,117,9,to turn her back upon a real friend,to go back on a real friend,,,,
13,117,16,"""Are you not a little too much in a hurry?""","""Aren't you perhaps a little too much in a hurry?""",,,,
13,117,23,Henrietta Stackpole gave a brilliant smile.,Henrietta gave a brilliant smile.,,,,
13,117,25,Ralph appeared to admit,Ralph appeared to allow,,,,
13,117,26,"he surrendered himself to meditation,",he surrendered to thought,,,,
13,117,27,"""If I should invite Mr. Goodwood,"" he said","""If I should invite Mr. Goodwood,"" he finally said",,,,
13,117,32,said Henrietta.,Henrietta returned.,,TRUE,,
13,118,1,"Miss Stackpole answered, ingeniously",Miss Stackpole ingeniously said.,,TRUE,,
13,118,1,said Ralph,Ralph concluded,,TRUE,,
13,118,10,in spite of his suspecting that it would be rather more indiscreet to keep his promise than it would be to break it,in spite of his suspecting it would be rather more indiscreet to keep than to break his promise,,,,
13,118,15,He had heard of Mr. Caspar Goodwood by name,He had heard this fresh formidable figure named,,,,
13,118,16,his mother mentioned to him,his mother had mentioned,,,,
13,118,18,"the idea seemed deficient in reality, and Ralph took no pains",the idea had seemed deficient in reality and he had taken no pains,,,,
13,118,19,which would suggest,which would involve,,,,
13,118,23,in the American style,in the most splendid of the American styles,,,,
13,118,24,theories about this young man,theories about this intervener,,,,
13,118,29,in this event would prove himself,in this event prove himself,,,,
13,119,9,it's some deeper motive,it's some subtler motive,,,,
13,119,10,I will write,I shall write,,,,
13,119,13,His refusal of Ralph's overtures made this young man vaguely uncomfortable,His refusal of Ralph's overtures was vaguely disconcerting,,,,
13,119,14,Ralph began,our friend began,,,,
13,119,20,whether she had written,if she had written,,,,
13,119,20,to confess that she had written,to confess she had written,,,,
13,119,21,Mr. Goodwood had not answered her.,Mr. Goodwood had not replied.,,,,
13,119,23,he is not at all impulsive,he's not really at all impetuous,,,,
13,119,27,"Whether it was to pursue her investigations, or whether it was in compliance with still larger interests, is a point which remains somewhat uncertain; at all events, she presently proposed",She presently proposed,,,,
13,119,29,"""If I must tell the truth,"" she said","""If I must tell the truth,"" she observed",,,,
13,119,33,"I happen to know,"" replied Isabel,","I happen to know,"" replied her friend,",,,,
13,119,34,every opportunity of examining him,every opportunity of turning him inside out,,,,
13,120,2,scenery makes a thin letter,scenery doesn't make a vital letter,,,,
13,120,4,time to get started,time to get in touch,,,,
13,120,6,the metropolis,the British capital,,,,
13,120,9,"she had a great desire to see something of London, which had always been the city of her imagination","she was curious of the thick detail of London, which had always loomed large and rich to her",,,,
13,120,10,visions of Êsthetic hours,visions of romantic hours,,,,
13,120,19,presently mentioned these bright intentions to Ralph,presently unveiled the bright vision to Ralph,,,,
13,120,19,did not express the sympathy,scarce expressed the sympathy,,,,
13,120,20,the Tavistock Hotel,the Duke's Head,,,,
13,120,26,she can surely find her way about this simple little island,can at least find her way about this minute island,,,,
14,121,1,to start for London immediately,to start immediately,,,,
14,121,3,she believed it to be her duty,she believed it her duty,,,,
14,121,5,no answer to her letter,no response to her letter,,,,
14,121,5,to say that he would come to lunch,to say he would come to luncheon,,,,
14,121,9,a discretion the more striking that she was so sure he really liked her,"a consideration the more studied that she was so sure he ""really liked"" her",,,,
14,121,11,"Isabel told her uncle that she had written to him, and let Mr. Touchett know of Lord Warburton's intention of coming","Isabel told her uncle she had written to him, mentioning also his intention of coming",,,,
14,121,16,"to cover the visitor's temporary absence, in case Isabel should find it needful to give Lord Warburton another hearing",to cover any conjoined straying away in case Isabel should give their noble visitor another hearing,,,,
14,121,16,This personage,That personage,,,,
14,121,18,dictated by considerations,dictated by reflexions,,,,
14,121,21,no relish of the prospect,no relish for the prospect,,,,
14,121,21,so precipitately opened,so prematurely opened,,,,
14,121,23,symptoms of that admiration,symptoms of that preoccupation,,,,
14,121,25,he avoided meeting her eye,he avoided meeting her eyes,,,,
14,121,31,rested in a manner which seemed to denote a conflict between attention and alienation,rested in a manner suggesting a conflict between deep alienation and yearning wonder,,,,
14,122,1,the one that Isabel had liked best,the one Isabel had liked best,,,,
14,122,4,"her mild forehead and silver cross had a romantic meaningóthat she was a member of a High Church sisterhood, had taken some picturesque vows",her mild forehead and silver cross referred to some weird Anglican mysteryósome delightful reinstitution perhaps of the quaint office of the canoness,,,,
14,122,13,shocked at the young lady's indifference to such an opportunity,shocked at such a girl's failure to rise,,,,
14,122,14,our heroine's last impression,our heroine's last position,,,,
14,122,15,a high sense of general fitness,a due consciousness of inequality,,,,
14,122,16,"Whatever Isabel might have made of her opportunities,","Whatever Isabel might have made of her opportunities, at all events,",,,,
14,122,22,looking vaguely about the table and laughing a little,looking a trifle absently about the table,,,,
14,122,26,the robes and crowns have gone out of fashion,the robes and crowns are gone out of fashion,,,,
14,122,30,"""Oh, you know, it isn't much, at the best,"" Lord Warburton answered.","""Oh, you know, it isn't much, at the best,"" her neighbour allowed.",,,,
14,123,1,Henrietta was silent a moment,Henrietta was silent a little,,,,
14,123,9,the world has got beyond that,the world has got beyond them,,,,
14,123,19,I do think of giving upóthe little there is left of itó,"I do think of giving it up, the little there is left of it,",,,,
14,123,20,"""I should like to see you do it,"" Henrietta exclaimed, rather grimly.","""I should like to see you do it!"" Henrietta exclaimed rather grimly.",,,,
14,123,23,they have got to say,they have to say,,,,
14,124,3,whatever you may do,whatever else you may do,,,,
14,124,14,This was his harmless revenge,Which was his harmless revenge,,,,
14,124,16,After lunch,After luncheon,,,,
14,124,20,staring at the paintings,staring at its contents,,,,TRUE
14,124,28,that you should admit what you do,that you should admit you do,,,,
14,124,29,"Isabel interrupted, blushing a little","Isabel interrupted, turning slightly pale",,,,
14,124,34,"""I have a reason, Lord Warburton,"" said the girl; and she said it in a tone that made his heart contract.","""I have a reason, Lord Warburton."" She said it in a tone that made his heart contract.",,,,
14,125,1,in the meantime,in the mean time,,,,
14,125,5,he apparently saw something in her eyes which gave him courage,he apparently saw in her eyes something that gave him courage,,,,
14,125,15,"Isabel raised her eyebrows, with a certain eagerness.",She raised her eyebrows in surprise.,,,,
14,125,21,"""I can't object to your political opinions, Lord Warburton,"" said the girl, ""because I don't understand them.""ù","""I can't object to your political opinions, because I don't understand them.""ù",,,,
14,125,24,"Isabel walked away,",Isabel walked,,,,
14,125,29,"there was something young and flexible in her movement, which her companion noticed. Isabel's eyes, however, saw nothing","there was something so young and free in her movement that her very pliancy seemed to mock at him. Her eyes, however, saw nothing",,,,
14,125,34,"the expression of her eyes was strange. ""That reason that I wouldn't tell you,"" she said, ""I will tell it you, after all. It is that I can't escape my fate.""ù","the expression of her eyes strange. ""That reason that I wouldn't tell youóI'll tell it you after all. It's that I can't escape my fate.""ù",,,,
14,125,36,"""I should try to escape it if I should marry you.""ù","""I should try to escape it if I were to marry you.""ù",,,,
14,126,6,"Poor Lord Warburton stared, with an interrogative point in either eye. ""Do you call marrying me giving up?""ù","Poor Lord Warburton stared, an interrogative point in either eye. ""Do you call marrying me giving up?""ù",,,,
14,126,9,"""Other chances?"" Lord Warburton repeated, more and more puzzled.","""Other chances for what?""ù",,,,
14,126,11,her colour rapidly coming back to her. And then she stooped down with a deep frown,"her colour quickly coming back to her. And then she stopped, looking down with a deep frown",,,,
14,126,14,"""I don't think it is presumptuous in me to say that I think you will gain more than you will lose,"" Lord Warburton observed.","""I don't think it presumptuous in me to suggest that you'll gain more than you'll lose,"" her companion observed.",,,,
14,126,18,"Lord Warburton exclaimed,",he exclaimed,,,,
14,126,22,"Well, if you are bent on being miserable, I don't see why you should make me so. Whatever charms unhappiness may have for you","Well, if you're bent on being miserable I don't see why you should make me so. Whatever charms a life of misery may have for you",,,,
14,126,24,"""I am not bent on being miserable,"" said Isabel.","""I'm not bent on a life of misery,"" said Isabel.",,,,
14,127,9,"Lord Warburton asked, impatiently",his lordship asked impatiently,,,,
14,127,15,"and reminded him that she ought to return home in time for tea, as she was expecting some company","reminded him she ought to return home in time for tea, as she was expecting company to partake of it",,,,
14,127,17,"he was preoccupiedówith good reason. Miss Molyneux looked ladylike and patient, and awaited his pleasure.","he was preoccupied, and with good reason. Miss Molyneuxóas if he had been Royaltyóstood like a lady-inwaiting.",,,,
14,127,28,as if she were afraid that Miss Stackpole would address her,as if she were afraid Miss Stackpole would address her,,,,
14,127,30,"""Oh yes, pictures are very indispensable,"" said Ralph","""Ah yes, pictures are very convenient,"" said Ralph",,,,TRUE
14,127,33,"""It rains so very often.""ù","""It has rained of late so very often.""ù",,,,
14,128,2,"""I am afraid we have got some people to tea,"" said Miss Molyneux","""I'm afraid we have some people to tea,"" said Miss Molyneux",,,,
14,128,9,Miss Stackpole rejoined,Miss Stackpole returned,,,,
14,129,1,Lord Warburton hesitated a moment.,Lord Warburton hesitated.,,,,
14,129,14,"did not catch her allusion. ""Miss Archer has been warning you!"" she went on.","failed to catch her allusion. ""Miss Archer has been warning you!"" she therefore went on.",,,,
14,129,18,"""Oh, dear no,"" said Lord Warburton, blushing","""Oh dear, no,"" said Lord Warburton brazenly",,,,
14,129,25,"""Miss Stackpole takes notes,"" Ralph explained, humorously.","""Miss Stackpole takes notes,"" Ralph soothingly explained.",,,,
14,129,31,as if you had got a bad telegram,as if you had got a bad cable,,,,
14,130,3,"""Is it true that you are going to London?""ù","""Is it true you're going to London?""ù",,,,
14,130,15,"after which,","After it,",,,,
14,130,17,In this apartment,in which apartment,,,,
14,130,18,the drawing-room,the saloon,,,,
14,130,19,"""I may as well tell you,"" said her aunt,","""I may as well tell you,"" said that lady,",,,,
14,130,21,Isabel hesitated an instant.,Isabel considered.,,,,
14,130,25,"Mrs. Touchett inquired, dryly, but dispassionately",Mrs. Touchett dispassionately asked,,,,
14,130,26,Again Isabel hesitated.,Again the girl hesitated,,,,
14,130,31,especially when you smile that way. One would think you had carried off a prize!,especially when you give me that rather conceited look. One would think you were awfully pleased with yourself and had carried off a prize!,,,,
15,131,3,Mrs. Touchett looked with little favour upon the plan,Mrs. Touchett looked with little favour on the plan,,,,
15,131,5,to stay at a boarding-house,to stay at her favourite boarding-house,,,,
15,131,13,all the more reason,all the greater reason,,,,
15,131,21,I don't mean that I am too good,I don't mean I'm too good,,,,
15,131,24,her little spare voice,"her smallest, sparest voice",,,,
15,131,28,I hope very much that I may have no more offers,I hope very much I may have no more offers,,,,
15,131,28,They bother me fearfully.,They upset me completely.,,,,
15,131,31,not to criticise the affair,not to criticise,,,,
15,132,1,"""I will do whatever Ralph says is right,"" Isabel said.","""I'll do whatever Ralph says is right,"" Isabel returned.",,,,
15,132,4,"""His mother is much obliged to you!"" cried this lady, with a laugh. ""It seems to me she ought to be,"" Isabel rejoined, smiling.","""His mother's much obliged to you!"" this lady dryly laughed. ""It seems to me indeed she ought to feel it!"" Isabel irrepressibly answered.",,,,
15,132,8,who have lived,who had lived,,,,
15,132,11,Ralph accompanied the two young ladies,Ralph accompanied their visitors,,,,
15,132,20,and not being dependent on the local cuisine,and being familiar with deeper fears than that of a cold kitchen,,,,
15,132,20,of that of Pratt's Hotel,of the resources of Pratt's Hotel,,,,
15,132,25,As London does not wear in the month of September its most brilliant face,As London wears in the month of September a face blank but for its smears of prior service,,,,
15,132,27,Miss Stackpole's high irritation,Miss Stackpole's high derision,,,,
15,132,28,you mean that the aristocracy are absent,you mean the aristocracy are absent,,,,
15,132,32,except three or four millions of people,but three or four millions of people,,,,
15,133,2,borrowed a charm from his circumstances,had a charm wrapped in them as a coloured gem might be wrapped in a dusty cloth,,,,
15,133,3,a day spent with his inquisitive countrywomen,a chain of hours with his comparatively ardent friends,,,,
15,133,8,the boots of a solitary policeman,the boots of a lone constable,,,,
15,133,8,the empty room,the empty place,,,,
15,133,13,"There was a ghostly presence in the room,",There was a ghostly presence,,,,
15,133,16,Ralph's imagination took a flight,his imagination took a flight,,,,
15,133,20,could only be for Ralph,could only be for him,,,,
15,133,23,Isabel was constantly interested and often excited,"Isabel was full of premises, conclusions, emotions",,,,
15,133,25,little theories,"brave theories, as to historic cause and social effect,",,,,
15,133,33,Henrietta Stackpole proved to be an indefatigable sight-seer and a more good-natured critic,Henrietta proved an indestructible sight-seer and a more lenient judge,,,,
15,133,35,her vivid remembrance of many of the cities of her native land,her vivid remembrance of the strong points of the American civic idea,,,,
15,133,36,its dingy peculiarities,its dingy dignities,,,,
15,134,18,the pleasure of button-holding a celebrity,the pleasure of buttonholing a celebrity,,,,
15,134,24,and none of those that one really wants,but none of those that would help along,,,,
15,134,28,a depressing sense of falling below her own standard,a sad sense of falling below her mission,,,,
15,134,29,The incident which had preceded Isabel's departure,The incident that had preceded Isabel's departure,,,,
15,134,31,in the girl's mind; she took no pleasure in recalling Lord Warburton's magnanimous disappointment,"our young woman's mind: when she felt again in her face, as from a recurrent wave, the cold breath of her last suitor's surprise, she could only muffle her head till the air cleared",,,,
15,134,35,"a distasteful one, and she felt no desire to take credit for her conduct. Nevertheless, mingled with this absence of an intellectual relish of it,","as graceless as some physical act in a strained attitude, and she felt no desire to take credit for her conduct. Mixed with this imperfect pride, nevertheless,",,,,
15,135,1,throbbed into joyous excitement,throbbed into odd demonstrations,,,,
15,135,5,when they were pretty she kissed them. Ralph noticed such incidents; he noticed everything that Isabel did,"when they were pretty, kissed them. Ralph noticed these quaint charities; he noticed everything she did",,,,
15,135,6,by way of amusing his companions,that his companions might pass the time,,,,
15,135,8,to do honour to their visit,for their visit,,,,
15,135,9,"another guest, also, to meet the ladies",another guest to meet them,,,,
15,135,10,and who got on uncommonly well with Miss Stackpole,and for whom prompt commerce with Miss Stackpole appeared to have neither difficulty nor dread,,,,
15,135,13,"Mr. Bantling, a stout, fair, smiling man of forty, who was extraordinarily well dressed, and whose contributions to the conversation were characterised by vivacity rather than continuity","Mr. Bantling, a stout, sleek, smiling man of forty, wonderfully dressed, universally informed and incoherently amused",,,,
15,135,18,and listened with candid interest to her remarks upon the inner life,"and, at a dozen turns of their talk, bounded responsiveóas with a positive passion for argumentóto her remarks upon the inner life",,,,
15,135,19,"""Oh, I see,"" said Mr. Bantling;","""Oh, I see;",,,,
15,135,21,the doctors have forbid,the doctors have forbidden,,,,
15,135,25,"he is dropsical as well, though he doesn't look it. You may depend upon it he has got a lot of water somewhere","he has organic disease so developed that you may depend upon it he'll go, some day soon, quite quickly",,,,
15,135,27,that sort of thing makes it awfully slow for people in the house; I wonder they have them under such circumstances,that sort of thing makes a dreadfully dull house; I wonder they have people when they can do so little for them,,,,
15,135,36,the sort of people that help her,the sort of people who help her,,,,
15,136,12,"at last changing his topic, with a natural eagerness to provide suitable conversation for so remarkable a woman. He returned, however, ultimately to the idea of Henrietta's going to stay with Lady Pensil, in Bedfordshire. ""I understand what you want,"" he repeated; ""you want to see some genuine English sport. The Touchetts are not English at all, you know; they live on a kind of foreign system; they have got some awfully queer ideas.","changing his topic with an easy turn of hand. Yet he none the less gracefully kept in sight of the idea, dazzling to Henrietta, of her going to stay with Lady Pensil in Bedfordshire. ""I understand what you want; you want to see some genuine English sport. The Touchetts aren't English at all, you know; they have their own habits, their own language, their own foodósome odd religion even, I believe, of their own.",,,,
15,136,16,she is going to play the principal part.,she's going to play the principal part. Plain as she is she makes up awfully wellóI will say for her.,,,,
15,136,22,his suggestiveness of allusion,his splendid range of suggestion,,,,
15,136,24,"""I don't know but I would go, if your sister should ask me,"" she said.","""I don't know but I would go, if your sister should ask me.",,,,
15,137,3,Henrietta had a long interview with them,Henrietta had had a long interview with them,,,,
15,137,5,their accumulated topics,their store,,,,
15,137,19,"""There is not the slightest need of your walking alone,"" said Mr. Bantling, in an off-hand tone expressive of gallantry.","""There's not the slightest need of your walking alone,"" Mr. Bantling gaily interposed.",,,,
15,137,22,"""I simply meant that you would be late for dinner,"" Ralph answered. ""Think of those poor ladies, in their impatience, waiting for you.""ù","""I simply meant that you'd be late for dinner,"" Ralph returned. ""Those poor ladies may easily believe that we refuse, at the last, to spare you.""ù",,,,
15,137,24,if you will trust to me,if you'll trust me,,,,
15,137,25,till we met one,till we meet one,,,,
15,137,26,"""I don't see why I shouldn't trust to him, do you?""ù","""I don't see why I shouldn't trust him, do you?""ù",,,,
15,137,29,"Isabel answered, smiling",Isabel obligingly answered,,,,
15,137,33,leaving Isabel and her cousin standing in the square,leaving the girl and her cousin together in the square,,,,
15,138,3,were squeezing their necks between the rusty railings of the inclosure,poked their faces between the rusty rails of the enclosure,,,,
15,138,10,I am very glad they are such good friends,I'm glad very they're such good friends,,,,
15,138,13,Isabel was silent a moment.,Isabel was briefly silent.,,,,
15,138,15,she rejoined at last.,DELETION,deletion,TRUE,,
15,138,18,basis of matrimony,basis of union,,,,
15,138,20,a very simple fellow,a very simple organism,,,,
15,138,21,Henrietta is simpler still,Henrietta's a simpler one still,,,,
15,138,26,There is no reason why we should not stay here,There's no reason we shouldn't stay here,,,,
15,139,7,"There was almost an emotion in doing so. ""Why won't you let me dine with you?"" he asked, after a pause.","ówhich indeed there was already an emotion in doing. ""Why won't you let me dine with you?"" he demanded after a pause.",,,,
15,139,12,as Isabel made no rejoinder they sat some time in silence,as she made no rejoinder they sat some time in a stillness,,,,
15,139,14,It seemed to him that she was preoccupied,It seemed to him she was preoccupied,,,,
15,139,23,"""You have a great many friends that I don't know,"" he said, laughing a little awkwardly.","""You've a great many friends that I don't know.",,,,
15,139,29,Isabel probably meant that she had received news,Isabel probably meant she had received news,,,,
15,139,31,he went on,he resumed,,,,
15,139,31,I promised a while ago,I promised just now,,,,
15,139,33,in my undertaking to amuse,in one's undertaking to amuse,,,,
15,140,13,"""Ask what you will,"" Isabel answered gently, ""and I will try and satisfy you.""ù","""Ask what you will,"" Isabel replied gently, ""and I'll try to satisfy you.""ù",,,,
15,140,14,Lord Warburton,Warburton,,,,
15,140,16,Isabel started a little,Isabel suppressed a start,,,,
15,140,23,he is such a fine fellow,he's such an honest man,,,,
15,140,27,I rode over,I drove over,,,,
15,140,34,"""Do you know how often he had seen me?","""Do you know how often he had seen me?"" she enquired.",,,,
15,141,3,to say that she thought it,to say she thought it,,,,
15,141,9,"cried Isabel, with a laugh",cried Isabel with a slightly nervous laugh,,,,
15,141,14,"without the hope of a reward,",without hope of reward,,,,
15,141,17,while Isabel listened to him,while she listened to him,,,,
15,141,18,What had you in your mind,What had you in mind,,,,
15,141,19,"""What had I in my mind?""ù","""What had I in mind?""ù",,,,
15,141,23,"No, that is not logicóand I knew that before.","No, that's not logicó and I knew that before. It's really nothing, you know.",,,,
15,141,24,What was it you said to yourself?,What was it you said to yourself?,,,,
15,141,25,Isabel reflected a moment and then she answered this inquiry,"Isabel reflected a moment, then answered",,,,
15,141,29,"Warburton is such a fine fellow; as a man I think he has hardly a fault. And then, he is what they call here a swell.","Warburton's such a thorough good sort; as a man, I consider he has hardly a fault. And then he's what they call here no end of a swell.",,,,
15,141,33,"Isabel watched her cousin while he spoke, as if to see how far he would go.",Isabel watched her cousin as to see how far he would go.,,,,
15,142,1,"""Do I think I am so good?""ù","""Do you think I'm so good?""ù",,,,
15,142,4,would have contented themselves with Warburton,would have managed to do with Warburton,,,,
15,142,5,know he has been run after,know how he has been stalked,,,,
15,142,7,"you told me of several faults that he has, one day when I spoke of him to you",one day when we talked of him you mentioned odd things in him,,,,
15,142,8,Ralph looked grave.,Ralph smokingly considered.,,,,
15,142,17,"looking gently but earnestly at her cousin. ""You would have liked me to marry Lord Warburton.""ù","looking at her cousin with rueful gentleness. ""You'd have liked me to make such a marriage.""ù",,,,
15,142,21,Isabel gave a rather conscious sigh.,She gave rather a conscious sigh.,,,,
15,142,25,given Lord Warburton his final answer,given Warburton his final answer,,,,
15,142,28,Are you thinking of proposing to me?,Are you thinking of proposing to me?,,,,
15,142,30,with golden eggs,with the material of my inimitable omelettes,,,,
15,142,31,a symbol,the symbol,,,,
15,142,32,the entertainment of seeing,the thrill of seeing,,,,
15,142,35,We shall contemplate the rest of your career.,We shall hang on the rest of your career.,,,,
15,143,1,a very honourable and brilliant one,"a very decent, in fact a very brilliant one",,,,
15,143,6,some magnificent example,some grand example,,,,
15,143,9,if you look for magnificent examples of anything I shall disappoint you,if you look for grand examples of anything from me I shall disappoint you,,,,
15,143,12,To this Isabel made no direct reply,To this she made no direct reply,,,,
15,143,13,which would bear consideration,that would bear consideration,,,,
15,143,16,But you are many-sided.,But you're of course so many-sided.,,,,
15,143,18,"Ralph broke out, with a laugh",her companion broke out,,,,
15,143,20,"to prove it he went onó""You want to see life, as the young men say.""ù","to prove it went on: ""You want to see lifeóyou'll be hanged if you don't, as the young men say.""ù",,,,
15,143,26,"""You want to see, but not to feel,"" said Ralph.","""You want to see, but not to feel,"" Ralph remarked.",,,,
15,143,28,Isabel returned.,DELETION,deletion,TRUE,,
15,143,30,until I have seen Europe,till I've seen Europe,,,,
15,143,31,You evidently expect that a crowned head,You evidently expect a crowned head,,,,
15,143,34,"Ralph sat still a moment, looking at her",Ralph only sat still and looked at her,,,,
15,143,35,"As he did not follow her, she stopped, and they remained a while exchanging a gaze, full on either side,","As he remained there she stopped, and they exchanged a gaze that was full on either side",,,,
15,144,1,"""You have answered my question,"" said Ralph at last.","""You've answered my question,"" he said at last.",,,,
15,144,6,Isabel's silvery eyes shone for a moment in the darkness.,Her silvery eyes shone a moment in the dusk.,,,,
15,144,18,it seemed that this quest would be fruitful,this quest might avail,,,,
15,144,24,"""When people forget I am a sick man I am often annoyed,"" he said.","""When people forget I'm a poor creature I'm often incommoded,"" he said.",,,,
16,145,1,Isabel had had no hidden motive in wishing her cousin,She had had no hidden motive in wishing him,,,,
16,145,2,it simply seemed to her,it simply struck her,,,,
16,145,5,"the American girl who ends by regarding perpetual assistance as a sort of derogation to her sanity,","the American girl whom extravagance of aid places in an attitude that she ends by finding ""affected""ù",,,,
16,145,7,and since her arrival,which since her arrival,,,,
16,145,8,it had been but scantily gratified,had been but meagrely met,,,,
16,145,9,she had missed it,she had wittingly missed it,,,,
16,145,11,the love of solitude,the wish to be quite by herself,,,,
16,145,12,Ralph's attendance,her cousin's attendance,,,,
16,145,12,"She was sitting, towards nine o'clock,",Seated toward nine o'clock,,,,
16,145,15,but succeeding,she succeeded,,,,
16,145,16,other words on the page than those that were printed there,other words than those printed on the page,,,,
16,145,17,in the afternoon,that afternoon,,,,
16,145,19,"which presently admitted him, bearing the card","which presently gave way to his exhibition, even as a glorious trophy, of the card",,,,
16,145,20,"This card, duly considered, offered to Isabel's startled vision",When this memento had offered to her fixed sight,,,,
16,145,22,"She let the servant stand before her inquiringly for some instants,",she let the man stand before her,,,,
16,145,23,"he asked at last,",he asked,,,,
16,145,25,she glanced at the mirror,glanced at the mirror,,,,
16,145,27,with some emotion,not so much smoothing her hair as girding her spirit,,,,
16,145,29,"Caspar Goodwood came in and shook hands with her. He said nothing till the servant had left the room again, then he saidó","Caspar Goodwood was accordingly the next moment shaking hands with her, but saying nothing till the servant had left the room.",,,,
16,146,1,He spoke,he then asked,,,,
16,146,2,"were usually pointed,",were habitually pointed,,,,
16,146,4,Isabel answered him by a question.,"She answered by a ready question,",,,,
16,146,7,that you would probably be at home,you would probably be at home,,,,
16,146,11,neither of them had seated themselves,neither had sat down,,,,
16,146,12,a certain air of defiance,an air of defiance,,,,
